band,cw,fwhm
1,418.42,7
2,424.04,6.67
3,429.46,6.42
4,434.69,6.25
5,439.76,6.13
6,444.7,6.06
7,449.54,6.01
8,454.31,5.98
9,459.03,5.95
10,463.73,5.92
11,468.41,5.89
12,473.08,5.86
13,477.74,5.83
14,482.41,5.81
15,487.09,5.8
16,491.78,5.8
17,496.5,5.81
18,501.24,5.84
19,506.02,5.87
20,510.83,5.91
21,515.67,5.96
22,520.55,6.01
23,525.47,6.07
24,530.42,6.12
25,535.42,6.18
26,540.46,6.24
27,545.55,6.29
28,550.69,6.35
29,555.87,6.41
30,561.11,6.47
31,566.41,6.53
32,571.76,6.58
33,577.17,6.64
34,582.64,6.7
35,588.17,6.76
36,593.77,6.82
37,599.45,6.88
38,605.19,6.95
39,611.02,7.02
40,616.92,7.1
41,622.92,7.18
42,628.99,7.25
43,635.11,7.33
44,641.29,7.41
45,647.54,7.48
46,653.84,7.55
47,660.21,7.62
48,666.64,7.69
49,673.13,7.76
50,679.69,7.83
51,686.32,7.9
52,693.01,7.97
53,699.78,8.05
54,706.62,8.13
55,713.52,8.21
56,720.5,8.29
57,727.55,8.38
58,734.65,8.47
59,741.83,8.55
60,749.06,8.64
61,756.35,8.72
62,763.7,8.8
63,771.11,8.88
64,778.57,8.96
65,786.08,9.03
66,793.64,9.1
67,801.25,9.17
68,808.91,9.24
69,816.61,9.3
70,824.36,9.37
71,832.15,9.44
72,839.98,9.51
73,847.85,9.58
74,855.76,9.66
75,863.7,9.74
76,871.68,9.82
77,879.69,9.91
78,887.73,9.99
79,895.79,10.08
80,903.87,10.16
81,911.97,10.25
82,920.08,10.34
83,928.2,10.42
84,936.34,10.51
85,944.47,10.59
86,952.61,10.66
87,960.75,10.72
88,968.89,10.75
89,977.04,10.75
90,985.19,10.72
91,993.34,10.64
92,901.96,9.18
93,911.57,9.32
94,921.32,9.45
95,931.2,9.58
96,941.22,9.71
97,951.36,9.83
98,961.63,9.94
99,972.02,10.06
100,982.52,10.16
101,993.14,10.27
102,1003.88,10.37
103,1014.72,10.48
104,1025.66,10.58
105,1036.7,10.68
106,1047.84,10.77
107,1059.07,10.86
108,1070.39,10.94
109,1081.78,11.02
110,1093.26,11.08
111,1104.81,11.14
112,1116.43,11.2
113,1128.1,11.24
114,1139.84,11.28
115,1151.62,11.31
116,1163.44,11.34
117,1175.3,11.37
118,1187.2,11.39
119,1199.11,11.4
120,1211.05,11.41
121,1223,11.42
122,1234.97,11.43
123,1246.94,11.43
124,1258.93,11.43
125,1270.92,11.43
126,1282.92,11.43
127,1294.91,11.42
128,1306.9,11.41
129,1318.88,11.39
130,1330.85,11.38
131,1342.82,11.36
132,1354.76,11.34
133,1366.69,11.32
134,1378.6,11.3
135,1390.48,11.27
136,1461.1,11.09
137,1472.74,11.05
138,1484.34,11.02
139,1495.89,10.98
140,1507.4,10.94
141,1518.87,10.9
142,1530.29,10.86
143,1541.67,10.82
144,1553.01,10.77
145,1564.3,10.73
146,1575.55,10.69
147,1586.76,10.64
148,1597.91,10.6
149,1609.02,10.55
150,1620.09,10.51
151,1631.11,10.46
152,1642.07,10.42
153,1653,10.37
154,1663.87,10.33
155,1674.7,10.28
156,1685.47,10.23
157,1696.2,10.19
158,1706.87,10.14
159,1717.5,10.1
160,1728.08,10.05
161,1738.6,10.01
162,1749.08,9.96
163,1759.51,9.92
164,1939.14,9.17
165,1948.69,9.13
166,1958.2,9.09
167,1967.66,9.05
168,1977.08,9.01
169,1986.45,8.97
170,1995.79,8.93
171,2005.08,8.89
172,2014.33,8.85
173,2023.54,8.81
174,2032.7,8.78
175,2041.83,8.74
176,2050.92,8.7
177,2059.96,8.66
178,2068.97,8.63
179,2077.93,8.59
180,2086.86,8.55
181,2095.74,8.52
182,2104.59,8.48
183,2113.4,8.44
184,2122.17,8.41
185,2130.9,8.37
186,2139.6,8.34
187,2148.26,8.3
188,2156.88,8.27
189,2165.47,8.23
190,2174.02,8.2
191,2182.53,8.16
192,2191.01,8.13
193,2199.45,8.1
194,2207.86,8.07
195,2216.24,8.03
196,2224.58,8
197,2232.89,7.97
198,2241.16,7.94
199,2249.4,7.91
200,2257.61,7.88
201,2265.79,7.85
202,2273.93,7.82
203,2282.04,7.79
204,2290.12,7.76
205,2298.17,7.73
206,2306.19,7.7
207,2314.17,7.67
208,2322.13,7.64
209,2330.05,7.61
210,2337.94,7.59
211,2345.81,7.56
212,2353.64,7.53
213,2361.44,7.5
214,2369.21,7.47
215,2376.95,7.44
216,2384.66,7.41
217,2392.34,7.38
218,2400,7.35
219,2407.62,7.32
220,2415.21,7.29
221,2422.78,7.26
222,2430.32,7.22
223,2437.82,7.19
224,2445.3,7.16
